,0,1
2760,643,625
2761,43,2125
2762,331,3327
2763,161,3186
2764,1419,1898
2765,27,249
2766,890,306
2767,1609,2160
2768,1473,3514
2769,333,2550
2770,249,3468
2771,1281,1480
2772,569,1833
2773,461,2414
2774,1144,3067
2775,50,2355
2776,80,2727
2777,333,1557
2778,987,3682
2779,1094,3287
2780,1058,216
2781,1627,1530
2782,456,2607
2783,1507,326
2784,1521,3655
2785,189,3198
2786,220,488
2787,536,2950
2788,422,160
2789,807,3469
2790,1361,2063
2791,218,2142
2792,1046,1984
2793,727,3358
2794,484,1475
2795,789,1140
2796,665,2695
2797,1240,1501
2798,1542,2052
2799,611,475
2800,1497,319
2801,489,2215
2802,1328,2247
2803,1194,1403
2804,358,2910
2805,830,1683
2806,1363,3563
2807,216,2562
2808,289,2855
2809,1307,3155
2810,205,2911
2811,231,3187
2812,1285,2129
2813,753,199
2814,1223,536
2815,231,2339
2816,167,2501
2817,1161,2195
2818,832,2251
2819,1693,3551
2820,909,480
2821,884,950
2822,561,3635
2823,1201,1094
2824,134,3166
2825,995,972
2826,779,2906
2827,186,201
2828,966,3488
2829,847,2934
2830,934,1582
2831,1369,340
2832,217,552
2833,70,1629
2834,886,2841
2835,523,2686
2836,575,2669
2837,1671,2301
2838,76,516
2839,26,2465
2840,1042,3621
2841,201,663
2842,817,3706
2843,132,1185
2844,449,790
2845,773,2746
2846,1264,1794
2847,640,164
2848,766,2486
2849,1441,3113
2850,120,1194
2851,415,1790
2852,541,3191
2853,295,924
2854,368,1645
2855,362,1829
2856,314,1413
2857,730,202
2858,457,3223
2859,127,2880
2860,1460,2447
2861,958,2095
2862,562,2852
2863,244,3359
2864,618,501
2865,1052,355
2866,1042,1592
2867,1312,3379
2868,859,1549
2869,245,964
2870,1491,1515
2871,622,1142
2872,766,2725
2873,1119,2656
2874,548,1097
2875,1003,115
2876,296,2247
2877,521,1164
2878,1399,891
2879,718,2180
2880,873,1446
2881,1302,441
2882,564,978
2883,258,586
2884,543,844
2885,957,133
2886,1052,1165
2887,1312,485
2888,1583,1917
2889,1672,598
2890,1431,1429
2891,445,1898
2892,714,400
2893,221,1692
2894,1481,693
2895,445,1972
2896,970,3298
2897,570,1336
2898,1650,419
2899,1626,2236
2900,973,2172
2901,636,948
2902,218,3352
2903,363,1772
2904,1509,1761
2905,462,3198
2906,907,2382
2907,236,136
2908,802,3225
2909,823,1082
2910,654,3440
2911,1403,2377
2912,1026,2145
2913,638,1275
2914,612,3638
2915,440,1893
2916,1125,616
2917,1184,3424
2918,61,2853
2919,708,1983
2920,324,2020
2921,1085,3146
2922,862,2224
2923,1001,1056
2924,1218,1099
2925,1689,3383
2926,956,1239
2927,1547,1140
2928,1033,3678
2929,257,1797
2930,810,681
2931,1168,1656
2932,614,656
2933,1352,954
2934,1557,758
2935,159,781
2936,1325,348
2937,1459,164
2938,1670,2365
2939,855,1367
2940,702,2536
2941,609,3644
2942,1053,2654
2943,1503,104
2944,653,1763
2945,888,2946
2946,351,1972
2947,595,3461
2948,486,703
2949,1112,27
2950,527,3158
2951,69,721
2952,52,3435
2953,1184,2379
2954,1667,1219
2955,963,2285
2956,1100,2691
2957,1525,1213
2958,900,3519
2959,891,2332
2960,888,3037
2961,774,3348
2962,1184,2640
2963,744,763
2964,1192,908
2965,1522,3247
2966,1468,2070
2967,1394,1988
2968,587,836
2969,441,1918
2970,1185,2472
2971,1098,2653
2972,1056,3368
2973,886,367
2974,600,3445
2975,419,2354
2976,703,2874
2977,86,1366
2978,1611,342
